raw_venue,normalized_venue
Systems network architecture,Systems Network Architecture
CCB@Middleware,Ccb@Middleware
NATURE COMMUNICATIONS,Nature Communications
"Computer Supported Cooperative Work in Design, 2004. Proceedings. The 8th International Conference","Computer Supported Cooperative Work In Design, Proceedings The International Conference"
FLOPS'12 Proceedings of the 11th international conference on Functional and Logic Programming,Flopsproceedings Of The International Conference On Functional And Logic Programming
Doctoral Symposium on Middleware,Doctoral Symposium On Middleware
RESEARCHING THE FUTURE IN INFORMATION SYSTEMS,Researching The Future In Information Systems
2016 Data Compression Conference (DCC),Data Compression Conference
ECSCW 2009: PROCEEDINGS OF THE 11TH EUROPEAN CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK,Ecscw : Proceedings Of The European Conference On Computer Supported Cooperative Work
Principles of Knowledge Representation and Reasoning,Principles Of Knowledge Representation And Reasoning
BUILDING THE E-WORLD ECOSYSTEM,Building The E-World Ecosystem
"IWRT 2010: RFID TECHNOLOGY - CONCEPTS, APPLICATIONS, CHALLENGES","Iwrt : Rfid Technology - Concepts, Applications, Challenges"
ICRA (3),Icra
Expert Systems: The Journal of Knowledge Engineering,Expert Systems: The Journal Of Knowledge Engineering
J. Comput. Meth. in Science and Engineering,J Comput Meth In Science And Engineering
Journal of King Saud University - Computer and Information Sciences,Journal Of King Saud University - Computer And Information Sciences
Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers,Proceedings Of The Acm International Joint Conference On Pervasive And Ubiquitous Computing And Proceedings Of The Acm International Symposium On Wearable Computers
MIST@CCS,Mist@Ccs
Multi-Hop Ad Hoc Networks from Theory to Reality,Multi-Hop Ad Hoc Networks From Theory To Reality
2016 IEEE Intl Conference on Computational Science and Engineering (CSE) and IEEE Intl Conference on Embedded and Ubiquitous Computing (EUC) and 15th Intl Symposium on Distributed Computing and Applications for Business Engineering (DCABES),Ieee Intl Conference On Computational Science And Engineering And Ieee Intl Conference On Embedded And Ubiquitous Computing And Intl Symposium On Distributed Computing And Applications For Business Engineering
The computational complexity of Marcus contextual languages,The Computational Complexity Of Marcus Contextual Languages
ADVANCES IN HYDROINFORMATICS,Advances In Hydroinformatics
Proceedings of the 27th ACM Symposium on Operating Systems Principles,Proceedings Of The Acm Symposium On Operating Systems Principles
2019 IEEE INTERNATIONAL CONFERENCE ON CONSUMER ELECTRONICS (ICCE),Ieee International Conference On Consumer Electronics
Emerging Technologies & Factory Automation,Emerging Technologies And Factory Automation
SNePS,Sneps
2016 Australian Control Conference (AuCC),Australian Control Conference
"Object-Oriented Real-Time Dependable Systems, 2002.",Object-Oriented Real-Time Dependable Systems
2019 IEEE International Conference on Cognitive Computing (ICCC),Ieee International Conference On Cognitive Computing
"HISB '12 Proceedings of the 2012 IEEE Second International Conference on Healthcare Informatics, Imaging and Systems Biology","Hisb Proceedings Of The Ieee Second International Conference On Healthcare Informatics, Imaging And Systems Biology"
WiTMeMo,Witmemo
Applied and Computational Harmonic Analysis,Applied And Computational Harmonic Analysis
"Quality Software, 2005.",Quality Software
Jisuan Wuli/Chinese Journal of Computational Physics,Jisuan Wuli/Chinese Journal Of Computational Physics
"Internet Computing, IEEE","Internet Computing, Ieee"
MSP/ISMM,Msp/Ismm
2014 CONFERENCE ON SYSTEMS ENGINEERING RESEARCH,Conference On Systems Engineering Research
CIARP,Ciarp
"COMBINATORICS ON WORDS, WORDS 2019","Combinatorics On Words, Words"
"Engineering Psychology and Cognitive Ergonomics: 9th International Conference, EPCE 2011, Held as Part of HCI International 2011, Orlando, FL, USA, ... / Lecture Notes in Artificial Intelligence)","Engineering Psychology And Cognitive Ergonomics: International Conference, Epce , Held As Of Hci International , Orlando, Fl, Usa, / Lecture Notes In Artificial Intelligence"
CCC '12 Proceedings of the 2012 IEEE Conference on Computational Complexity (CCC),Proceedings Of The Ieee Conference On Computational Complexity
Linguistics and Philosophy,Linguistics And Philosophy
e-Business and Telecommunication Networks,E-Business And Telecommunication Networks
Secure Software Integration and Reliability Improvement Companion,Secure Software Integration And Reliability Improvement Companion
Essays Dedicated to Joseph A. Goguen,Essays Dedicated To Joseph A Goguen
OPTICAL ENGINEERING,Optical Engineering
J. Complex Networks,J Complex Networks
International journal of artificial intelligence,International Journal Of Artificial Intelligence
2017 4th Experiment@International Conference (exp.at'17),Experiment@International Conference
Timisoara,Timisoara
2016 6th European Workshop on Visual Information Processing (EUVIP),European Workshop On Visual Information Processing
2018 IEEE 14th International Conference on Control and Automation (ICCA),Ieee International Conference On Control And Automation
The art of artificial intelligence: I. Themes and case studies of knowledge engineering,The Art Of Artificial Intelligence: Themes And Case Studies Of Knowledge Engineering
SFCS '93 Proceedings of the 1993 IEEE 34th Annual Foundations of Computer Science,Sfcs Proceedings Of The Ieee Annual Foundations Of Computer Science
"2016 14TH INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION, ROBOTICS AND VISION (ICARCV)","International Conference On Control, Automation, Robotics And Vision"
ADVANCES IN ENTERPRISE ENGINEERING XI,Advances In Enterprise Engineering
Journal of Physics Conference Series,Journal Of Physics Conference Series
ALR@COLING,Alr@Coling
Patient Education and Counseling,Patient Education And Counseling
2015 IEEE 2nd Workshop on Evolving Security and Privacy Requirements Engineering (ESPRE),Ieee Workshop On Evolving Security And Privacy Requirements Engineering
"Personal, Indoor and Mobile Radio Communications, 2002. The 13th IEEE International Symposium","Personal, Indoor And Mobile Radio Communications, The Ieee International Symposium"
POLITICAL COMMUNICATION,Political Communication
Creativity and HCI: From Experience to Design in Education,Creativity And Hci: From Experience To Design In Education
SE4HPCS@ICSE,Se4Hpcs@Icse
Decision Support Systems - Special issue: Web services and process management,Decision Support Systems - Special : Web Services And Process Management
Surgery Simulation and Soft Tissue Modeling,Surgery Simulation And Soft Tissue Modeling
Foundations of Computer Science,Foundations Of Computer Science
EURO-DAC 93 - EUROPEAN DESIGN AUTOMATION CONFERENCE WITH EURO-VHDL 93 : PROCEEDINGS,Euro-Dac - European Design Automation Conference With Euro-Vhdl : Proceedings
ICDKE,Icdke
CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,Canadian Journal Of Statistics-Revue Canadienne De Statistique
Learning Structured Information@EACL,Learning Structured Information@Eacl
Digital Content Creation,Digital Content Creation
"symposium on design, test, integration and packaging of mems/moems","Symposium On Design, Test, Integration And Packaging Of Mems/Moems"
"2018 31st SIBGRAPI Conference on Graphics, Patterns and Images (SIBGRAPI)","Sibgrapi Conference On Graphics, Patterns And Images"
2018 5th IEEE International Conference on Cyber Security and Cloud Computing (CSCloud)/2018 4th IEEE International Conference on Edge Computing and Scalable Cloud (EdgeCom),Ieee International Conference On Cyber Security And Cloud Computing / Ieee International Conference On Edge Computing And Scalable Cloud
IEEE journal of biomedical and health informatics,Ieee Journal Of Biomedical And Health Informatics
Digital Avionics Systems Conference,Digital Avionics Systems Conference
smart graphics,Smart Graphics
Industrial Engineering and Operations Management,Industrial Engineering And Operations Management
ICS-CSR,Ics-Csr
Working IEEE/IFIP Conference on Software Architecture,Working Ieee/Ifip Conference On Software Architecture
"Proceedings of the 9th ECCAI-ACAI/EASSS 2001, AEMAS 2001, HoloMAS 2001 on Multi-Agent-Systems and Applications II-Selected Revised Papers","Proceedings Of The Eccai-Acai/Easss , Aemas , Holomas On Multi-Agent-Systems And Applications -Selected Revised Papers"
FUZZY LOGIC IN INTELLIGENT SYSTEM DESIGN: THEORY AND APPLICATIONS,Fuzzy Logic In Intelligent System Design: Theory And Applications
"2013 INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTING, COMMUNICATIONS AND INFORMATICS (ICACCI)","International Conference On Advances In Computing, Communications And Informatics"
"2016 INTERNATIONAL CONFERENCE ON LOGISTICS, INFORMATICS AND SERVICE SCIENCES (LISS' 2016)","International Conference On Logistics, Informatics And Service Sciences"
Proceedings of the 2nd International Workshop on Robotics Software Engineering,Proceedings Of The International Workshop On Robotics Software Engineering
Business Process Management Journal,Business Process Management Journal
JLCL,Jlcl
European Conference on Cognitive Ergonomics,European Conference On Cognitive Ergonomics
Chemie Der Erde-geochemistry,Chemie Der Erde-Geochemistry
Porto,Porto
2017 15th IEEE International New Circuits and Systems Conference (NEWCAS),Ieee International New Circuits And Systems Conference
Journal of the American Society for Information Science,Journal Of The American Society For Information Science
2017 IEEE International Conference on Industrial Technology (ICIT),Ieee International Conference On Industrial Technology
IJAOSE,Ijaose
EGGH'94 Proceedings of the Ninth Eurographics conference on Graphics Hardware,Egghproceedings Of The Ninth Eurographics Conference On Graphics Hardware
Software Composition,Software Composition
2016 22nd International Conference on Virtual System & Multimedia (VSMM),International Conference On Virtual System And Multimedia
Proceedings of the Tenth International Symposium on Information and Communication Technology,Proceedings Of The Tenth International Symposium On Information And Communication Technology
TPNC,Tpnc
CCTA (1),Ccta
SIGPLAN '87 Papers of the Symposium on Interpreters and interpretive techniques,Sigplan Papers Of The Symposium On Interpreters And Interpretive Techniques
Ultrasound in Medicine and Biology,Ultrasound In Medicine And Biology
ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,Acm/Sigda International Symposium On Field-Programmable Gate Arrays
Int. J. Systems Assurance Engineering and Management,Int J Systems Assurance Engineering And Management
JIKM,Jikm
SouthCHI,Southchi
"I-SPAN 2009 - The 10th International Symposium on Pervasive Systems, Algorithms, and Networks","Span - The International Symposium On Pervasive Systems, Algorithms, And Networks"
Proceedings of the ... International Conference on Machine Learning. International Conference on Machine Learning,Proceedings Of The International Conference On Machine Learning International Conference On Machine Learning
INDUSTRIAL AND CORPORATE CHANGE,Industrial And Corporate Change
WI-IAT '09 Proceedings of the 2009 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology - Volume 02,Wi-Iat Proceedings Of The Ieee/Wic/Acm International Joint Conference On Web Intelligence And Intelligent Agent Technology
SIGIR '12 Proceedings of the 35th international ACM SIGIR conference on Research and development in information retrieval,Sigir Proceedings Of The International Acm Sigir Conference On Research And Development In Information Retrieval
TOOLS (25),Tools
PROCEEDINGS OF THE 8TH INTERNATIONAL CONFERENCE ON THE INTERNET OF THINGS (IOT'18),Proceedings Of The International Conference On The Internet Of Things
"2019 IEEE International Conference on Big Data, Cloud Computing, Data Science & Engineering (BCD)","Ieee International Conference On Big Data, Cloud Computing, Data Science And Engineering"
PROCEEDINGS OF THE 12TH INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING SYSTEMS,Proceedings Of The International Conference On Distributed Computing Systems
"ADVANCES IN SPEECH AND LANGUAGE TECHNOLOGIES FOR IBERIAN LANGUAGES, IBERSPEECH 2016","Advances In Speech And Language Technologies For Iberian Languages, Iberspeech"
ETT 2009 - 2009 2nd International Conference on Education Technology and Training,Ett - International Conference On Education Technology And Training
Movement Disorders,Movement Disorders
ACM Transactions on Knowledge Discovery from Data (TKDD),Acm Transactions On Knowledge Discovery From Data
INTERNATIONAL JOURNAL OF GRID AND HIGH PERFORMANCE COMPUTING,International Journal Of Grid And High Performance Computing
pattern recognition and machine intelligence,Pattern Recognition And Machine Intelligence
"INTERACTIVE STORYTELLING, ICIDS 2018","Interactive Storytelling, Icids"
Research in Engineering Design,Research In Engineering Design
Algebraic methods II,Algebraic Methods
CL-2000 Workshop on Computational Logic in Multi-Agent Systems,Workshop On Computational Logic In Multi-Agent Systems
Physical Review E,Physical Review E
"2014 INTERNATIONAL SYMPOSIUM ON VLSI DESIGN, AUTOMATION AND TEST (VLSI-DAT)","International Symposium On Vlsi Design, Automation And Test"
Transportation Research Part A: Policy and Practice,Transportation Research A: Policy And Practice
2016 8th Advanced Satellite Multimedia Systems Conference and the 14th Signal Processing for Space Communications Workshop (ASMS/SPSC),Advanced Satellite Multimedia Systems Conference And The Signal Processing For Space Communications Workshop
JOURNAL OF INFORMATION TECHNOLOGY EDUCATION-INNOVATIONS IN PRACTICE,Journal Of Information Technology Education-Innovations In Practice
New Review of Hypermedia and Multimedia / Hypermedia,New Review Of Hypermedia And Multimedia / Hypermedia
UIST '10 Proceedings of the 23nd annual ACM symposium on User interface software and technology,Uist Proceedings Of The Annual Acm Symposium On User Interface Software And Technology
design automation and test in europe,Design Automation And Test In Europe
Mensch & Computer,Mensch And Computer
International Conference on Artificial Immune Systems,International Conference On Artificial Immune Systems
Planning under uncertainty via stochastic satisfiability,Planning Under Uncertainty Via Stochastic Satisfiability
Bandaoti Guangdian/Semiconductor Optoelectronics,Bandaoti Guangdian/Semiconductor Optoelectronics
Sensor Array and Multichannel Signal Processing Workshop,Sensor Array And Multichannel Signal Processing Workshop
CALISCE,Calisce
2015 IEEE 9th International Conference on Self-Adaptive and Self-Organizing Systems,Ieee International Conference On Self-Adaptive And Self-Organizing Systems
Code Generation for Embedded Processors,Code Generation For Embedded Processors
conference on computer as a tool,Conference On Computer As A Tool
ICOMP '05: Proceedings of the 2005 International Conference on Internet Computing,Icomp : Proceedings Of The International Conference On Internet Computing
"DATA MINING, INTRUSION DETECTION, INFORMATION ASSURANCE, AND DATA NETWORKS SECURITY 2006","Data Mining, Intrusion Detection, Information Assurance, And Data Networks Security"
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,International Journal Of Software Engineering And Knowledge Engineering
2015 12th IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS),Ieee International Conference On Advanced Video And Signal Based Surveillance
EvalMetrics@NAACL-HLT,Evalmetrics@Naacl-Hlt
IJCALLT,Ijcallt
Computational Astrophysics and Cosmology,Computational Astrophysics And Cosmology
Australasian Computing Education Conference,Australasian Computing Education Conference
"2016 International Conference on Computing, Networking and Communications (ICNC)","International Conference On Computing, Networking And Communications"
"2016 7TH INTERNATIONAL CONFERENCE ON INFORMATION, INTELLIGENCE, SYSTEMS & APPLICATIONS (IISA)","International Conference On Information, Intelligence, Systems And Applications"
INTERNATIONAL JOURNAL OF SOFTWARE INNOVATION,International Journal Of Software Innovation
CAD Advanced Course,Cad Advanced Course
"ADVANCES IN CRYPTOLOGY - EUROCRYPT 2019, PT III","Advances In Cryptology - Eurocrypt , Pt"
ICIC,Icic
NEWCAS,Newcas
ACSC,Acsc
ForMABS@ASE,Formabs@Ase
Formal Methods in System Design - Special issue on formal methods for computer-added design,Formal Methods In System Design - Special On Formal Methods For Computer-Added Design
"Geoscience and Remote Sensing Symposium, 2003. IGARSS '03. Proceedings. 2003 IEEE International","Geoscience And Remote Sensing Symposium, Igarss Proceedings Ieee International"
ECDL'10 Proceedings of the 14th European conference on Research and advanced technology for digital libraries,Ecdlproceedings Of The European Conference On Research And Advanced Technology For Digital Libraries
MoChArt,Mochart
QoS-IP'05 Proceedings of the Third international conference on Quality of Service in Multiservice IP Networks,Qos-Ipproceedings Of The Third International Conference On Quality Of Service In Multiservice Ip Networks
"ADVANCES IN COMPUTERS, VOL 79",Advances In Computers
2017 IEEE International Conference on Data Mining Workshops (ICDMW),Ieee International Conference On Data Mining Workshops
UNIVERSITY OF ILLINOIS LAW REVIEW,University Of Illinois Law Review
WISE@ASE,Wise@Ase
ICWI,Icwi
SIAM J. Comput.,Siam J Comput
Networked Cryptographic Devices Resilient to Capture,Networked Cryptographic Devices Resilient To Capture
Organic Computing - Controlled Emergence,Organic Computing - Controlled Emergence
SIGLOG News,Siglog News
2016 European Intelligence and Security Informatics Conference (EISIC),European Intelligence And Security Informatics Conference
Aspects of Natural Language Processing,Aspects Of Natural Language Processing
JOURNAL OF MACHINE LEARNING RESEARCH,Journal Of Machine Learning Research
ICSE '87 Proceedings of the 9th international conference on Software Engineering,Icse Proceedings Of The International Conference On Software Engineering
Symposium on Code Generation and Optimization,Symposium On Code Generation And Optimization
IWAP,Iwap
PROCEEDINGS 1995 IEEE INTERNATIONAL SYMPOSIUM ON INFORMATION THEORY,Proceedings Ieee International Symposium On Information Theory
"VLSI Test Symposium, 2002.",Vlsi Test Symposium
Optics & Photonics News,Optics And Photonics News
2019 12th Asia Pacific Workshop on Mixed and Augmented Reality (APMAR),Asia Pacific Workshop On Mixed And Augmented Reality
SIGPLAN Symposium on Compiler Construction,Sigplan Symposium On Compiler Construction
